univers,type,valeur,genre,signification,culture,origine
reel,français," Mégane",f,,,
reel,français,Aaron,m,"celui qui vient après",hébreu,
reel,irlandais,Abaigh,f,joie|père,hébreux,abigail
reel,irlandais,Aban,m,aubépine|blanc,,alban
reel,irlandais,Abban,m,,,alban
reel,irlandais,Abbie,f,joie|père,hébreux,abigail
reel,français,Abdon,m,serviteur,hébreu,
reel,français,Abdonie,f,,hébreu,abdon
reel,français,Abdonise,f,,hébreu,Abel
reel,français,Abel,m,"le fils",hébreu,
reel,français,Abélard,m,,hébreu,Abel
reel,français,Abélie,f,,hébreu,Abel
reel,français,Abelin,m,,hébreu,Abel
reel,français,Abeline,f,,hébreu,Abel
reel,français,Abelle,f,,hébreu,abel
reel,nord-amérindien,Abequa,f,"reste à la maison",Algonquien,
reel,nord-amérindien,Abey,f,feuille,"Peuple Sioux|tribu Omaha",
reel,nord-amérindien,Abeytu,f,"feuille verte","Peuple Sioux|tribu Omaha",
reel,hindou,Âbha,f,Éclat|Beauté,,
reel,hindou,Abhay,m,"Intrépide|[un des fils de Dhritarashtra, dans le Mahâbhârata]",,
reel,hindou,Abhaya,f,Sans|Crainte,,
reel,irlandais,Abhcan,m,petite|nain,celtique,
reel,hindou,Abhijit,m,Victorieux|constellation,,
reel,hindou,Abhilash,m,Désir,,
reel,hindou,Abhilasha,f,Désir,,
reel,hindou,Abhimanyu,m,fils|Arjuna,,
reel,hindou,Abhinav,m,Nouveau,,
reel,hindou,Abhiruchi,f,Belle,,
reel,hindou,Abhirup,m,Agréable,,
reel,hindou,Abhisarika,f,Bien-aimée,,
reel,hindou,Abhishek,m,"cérémonie|[on verse l'eau et le lait sacrés sur un objet à bénir]",,
reel,hindou,Abhra,m,Nuage,,
reel,irlandais,Abiageal,f,joie|père,hébreux,abigail
reel,français,Abigaëlle,f,"joie du père|source de joie",hébreu,abigaelle
reel,français,Abigaïl,f,,hébreu,abigaelle
reel,hindou,Aboli,f,fleur,,
reel,français,Abondance,m,opulence,latin,
reel,français,Abraham,m,"père d'une multitude de nations",hébreu,
reel,français,Absalon,m,"la paix",hébreu,
reel,français,Acace,m,l'innocence,grec,
reel,français,Acaciane,f,,grec,acacie
reel,français,Acacie,f,,grec,acace
reel,français,Acanthe,f,,grec,acacie
reel,français,Achaire,m,"le remède",grec,
reel,hindou,Achala,f,Sans-fin|Constante|Montagne,,
reel,français,Achille,m," du nom du héros de l'épopée homérique",grec,
reel,hindou,Achintya,m,"Au-delà de la Compréhension",,
reel,hindou,Achyuta,m,"Impérissable|[nom de Vishnu]",,
reel,français,Adalard,m,noble|dure,germanique,
reel,français,Adalbald,m,noble|hardi,germanique,
reel,français,Adalbaude,f,,germanique,abaldald
reel,français,Adalbéron,m,noble|ours,germanique,
reel,français,Adalbert,m,noble|illustre,germanique,
reel,français,Adalric,m,noble|puissant,germanique,
reel,français,Adalsinde,f,noble|doux,germanique,
reel,français,Adam,m,homme|terre,hébreu,
fantastic,elfe,Adanedhel,m,homme-elfe,,fantastic
reel,hindou,Adarsh,f,Miroir|Idéal,,
reel,hindou,Adarshini,f,Idéaliste,,
reel,français,Adegrin,m,noble|cruel,germanique,
reel,français,Adegrine,f,,germanique,adegrin
reel,français,Adel,m,noble,germanique,
reel,français,Adélaïde,f,,germanique,adèle
reel,français,Adèle,f,,germanique,adel
reel,français,Adélice,f,,germanique,adèle
reel,français,Adélie,f,,germanique,adèle
reel,français,Adelin,m,noble|doux,germanique,
reel,français,Adeline,f,,germanique,adelin
reel,français,Adelphe,m,"le frère",grec,
reel,français,Adeltrude,f,noble|fidèle,germanique,
reel,français,Adenet,m,,hébreu,adam
reel,français,Adéodat,m,"Dieu a donné",latin,
reel,hindou,Adesh,m,Commandement,,
reel,irlandais,Adhamhan,m,terre|rouge,hébreux,aza
reel,français,Adhémar,m,noble|illustre,germanique,
reel,hindou,Adhik,m,"Plus Grand",,
reel,hindou,Adhika,f,Surabondance,,
reel,hindou,Adhira,f,Éclair,,
reel,hindou,Adhita,f,Éduquée,,
reel,hindou,Âdhya,f,Premier|Pouvoir,,
reel,hindou,Âdi,m,"Premier|le Plus Important",,
reel,hindou,Adil,m,Juste,,
reel,hindou,Adinath,m,"Premier|Seigneur|[un nom de Vishnu]",,
reel,hindou,Adishri,f,Exaltée,,
reel,hindou,Adit,m,"Premier Né",,
reel,hindou,Aditi,f,"[Sans limite Divinité védique]",,
reel,hindou,Aditya,m,"Fils de l'Infini|[un des noms du Soleil]",,
reel,français,Adjutor,m,"celui qui aide",latin,
reel,irlandais,Adnae,m,âgé,,
reel,français,Adolphe,m,noble|loup,germanique,
reel,français,Adolphie,f,,germanique,adolphe
reel,français,Adon,m,,phénicien,adonis
reel,français,Adonis,m,prince,phénicien,
reel,français,Adonise,f,,phénicien,adonis
warcraft,elfe,Adora,f,,"Pretresse de la lune",warcraft
reel,français,Adraste,m,,grec,
reel,français,Adrastée,f,"de qui on ne peut échapper",grec,adraste
reel,français,Adrehilde,f,noble|combat,germanique,
reel,nord-amérindien,Adriel,m,"castor|symbole d'adresse",,
reel,français,Adrien,m,"ville de Vénétie",latin,
reel,français,Adrienne,f,,latin,adrien
reel,hindou,Adrika,f,Céleste,,
fantastic,elfe,Adûnakhôr,m,"seigneur de l'Ouest",,fantastic
reel,irlandais,Aed,m,,,aodh
reel,irlandais,Aedan,m,,,aed
fantastic,elfe,Aeglos,m,"pointe de neige",,fantastic
fantastic,elfe,Aegnor,m,"feu cruel",,fantastic
reel,français,Aelis,f,,,
reel,irlandais,Aengus,m,,,oengus
fantastic,elfe,Aerandir,m,"vagabond des mers",,fantastic
fantastic,elfe,Aerin,f,étoile-reine,,fantastic
reel,irlandais,Affraic,f,,,affrica
reel,irlandais,Affrica,f,plaisante|agréable,,
reel,irlandais,Afric,f,,,affrica
reel,irlandais,Africa,f,,,affrica
reel,irlandais,Afrika,f,,,affrica
warcraft,humain,Agamand,m,,paladin,warcraft
reel,français,Agapet,m,l'amour,grec,
reel,irlandais,Agate,f,bonté|gentillesse,,
reel,français,Agathange,m,"bon|brave au combat|messager",grec,
reel,français,Agathe,f,"bon|brave au combat",grec,agathon
reel,français,Agathon,m,,grec,
reel,hindou,Agendra,m,"montagne|[un nom de l'Himalaya]",,
reel,français,Agénor,m,,germanique,agilbert
warcraft,humain,Aggronor,m,,"Roi de la montagne",warcraft
reel,irlandais,Aghaistin,f,grand|vénérable,latin,aogusta
reel,hindou,Aghanashini,f,"[Destructrice du Péché]",,
reel,irlandais,Aghna,f,agneau,,
reel,français,Agilbert,m,otage|célèbre|brillant,germanique,
reel,français,Agilberte,f,,germanique,agilbert
reel,français,Aglaé,f,"éclat|rayonnante de beauté|parure",grec,
reel,français,Agnan,m,chaste|innocent,grec,
reel,français,Agnane,f,,grec,agnan
reel,français,Agneflète,f,chaste|innocent|pleuré,grec,
reel,français,Agnel,m,,grec,agnan
reel,français,Agnès,f,pure,grec,
reel,hindou,Agniprava,m,Eclatant|Feu,,
reel,hindou,Agnishikha,f,Flammes|Feu|Divin,,
reel,irlandais,Agnoman,m,,irlandais,
reel,hindou,Agrata,f,Direction,,
reel,hindou,Agrima,f,Direction,,
reel,français,Agrippin,m,propriétaire,latin,
reel,français,Agrippine,f,,latin,agrippin
reel,irlandais,Aguistin,m,consacré|augures,latin,augustin
reel,hindou,Ahalya,f,"[femme d'un sage de la mythologie, sauvée par Rama]",,
reel,hindou,Âheli,f,Pure,,
reel,hindou,Ahladita,f,Bonne-Humeur,,
reel,tahitien,Ahumere,f,robe|chagrin|père|parent,,
reel,tahitien,Ahutiare,f,robe|fleurs,,
reel,tahitien,Ahuura,x,"robe|rouge|royale|coucher de soleil",,
reel,irlandais,Ai,m,,,
reel,irlandais,Aibhistin,f,,,aghaistin
reel,irlandais,Aidlinn,f,,celtique,
reel,irlandais,Aidrian,f,,latin,adrian
reel,irlandais,Aife,f,,,aoife
reel,irlandais,Aifric,f,,irlandais,affrica
reel,français,Aignan,m,,grec,agnan
reel,français,Aignane,f,,grec,agnan
reel,irlandais,Aignéis,f,,,aghna
reel,irlandais,Ailbert,m,tout|brillant,germanique,aoperzh
reel,irlandais,Ailbhis,m,,,alban
reel,irlandais,Ailean,m,,,alan
reel,irlandais,Aileen,f,,,aidlinn
reel,irlandais,Aileene,f,,,aidlinn
reel,irlandais,Ailene,f,bétail|richesse,breton,elen
reel,irlandais,Ailfred,m,,breton,aofred
reel,irlandais,Ailfrid,m,,,ailfred
reel,irlandais,Ailill,m,fantôme,irlandais,
reel,irlandais,Ailin,m,foan,gallois,alan
reel,irlandais,Ailina,f,,,ailin
reel,irlandais,Ailionora,f,richesse|honneur,,
reel,irlandais,Ailis,f,noble|lande,germanique,aziliz
reel,irlandais,Ailisa,f,,,ailis
reel,irlandais,Ailise,f,,,ailisa
reel,irlandais,Ailish,f,,,ailisa
reel,irlandais,Ailse,f,,,ailisa
reel,français,Aimable,m,"qui mérite d'être aimé",latin,
reel,tahitien,Aimata,x,"possession|visage|œil|mangeur d'yeux|clin d'œil",,
reel,français,Aimé,m,"l'Aimé de Dieu",latin,
reel,français,Aimée,f,,latin,aimé
reel,irlandais,Aimiliona,f,travailleuse,germanique,amélia
reel,irlandais,Aina,f,grâce|gracieuse,hébreux,hannah
reel,irlandais,Aindiru,m,,,aindreas
reel,irlandais,Aindreas,m,courageux|viril,grec,andrec
reel,irlandais,Aine,f,,,aina
reel,irlandais,Aingeal,f,messagère,grec,angellos
reel,irlandais,Airmed,f,mesure,irlandais,
reel,irlandais,Airt,m,,,artur
reel,hindou,Aishani,f,"[un nom de la déesse Durga]",,
reel,hindou,Aishi,f,Don|Dieu,,
reel,hindou,Aishvarya,f,Abondance,,
reel,hindou,Aishwarya,f,Abondance,,
reel,irlandais,Aislin,f,,,aisling
reel,irlandais,Aisling,f,rêve|vision,celtique,
reel,irlandais,Aislinn,f,,,aisling
reel,irlandais,Aithbhreac,f,plaisante|agréable,gaélique,
reel,irlandais,Aithirne,m,,irlandais,
reel,nord-amérindien,Aiyanna,f,"Fleur éternelle",,
reel,hindou,Aja,f,"Non-née|Chèvre|[nom d'une épouse de Shiva]",,
reel,hindou,Ajala,f,"[un nom de la Terre]",,
reel,hindou,Ajatashatru,m,"sans ennemi|[Celui dont l'ennemi n'est pas né]|[un des [noms de Vishnu]",,
reel,hindou,Ajay,m,Invincible,,
reel,hindou,Ajeya,f,Invincible,,
reel,hindou,Ajit,m,"#voir Ajay",,
reel,hindou,Ajita,f,Victorieuse,,
reel,hindou,Ajitabh,m,Conquérant|Ciel,,
reel,hindou,Akalmash,m,"immaculé|[sans tâche]",,
reel,hindou,Akand,m,Calme,,
reel,hindou,Akanksha,f,Désir|Souhait,,
reel,hindou,Akash,m,"Ether|[le cinquième élément]",,
reel,hindou,Akhil,m,Roi|Seigneur,,
reel,hindou,Akhilesh,m,"Indestructible|[Seigneur de toute chose]",,
warcraft,orc,Akinos,x,,Maitre-Lame,warcraft
reel,hindou,Aklima,f,Premier|Pas,,
reel,hindou,Akriti,f,Forme,,
reel,hindou,Akshan,m,Œil,,
reel,hindou,Akshara,f,Lettre,,
reel,hindou,Akshata,f,Riz,,
reel,hindou,Akshay,m,Indestructible,,
reel,hindou,Akshaya,f,Indestructible,,
reel,hindou,Akshit,m,Permanent,,
reel,hindou,Akshita,f,"[Celle qui est Vue]",,
reel,hindou,Akul,m,"[un nom de Shiva]",,
reel,hindou,Akuti,f,"princesse|[nom d'une princesse Nom d'une des trois filles de Manu, le premier homme]",,
reel,irlandais,Alabhaois,m,tout|sage,germanique,
fantastic,Nain,Alabran,m,"Fureur des neiges",,fantastic
fantastic,Nain,Alabrane,f,"Colère loyale",,fantastic
fantastic,Nain,Alabri,m,"Nuit qui gronde",,fantastic
fantastic,Nain,Alabria,f,"Pic des neiges",,fantastic
fantastic,Nain,Alabrie,f,"Protecteur des mineurs",,fantastic
fantastic,Nain,Alabrilin,m,"Mort blanche",,fantastic
fantastic,Nain,Alabrin,m,"Bouclier de la lanterne",,fantastic
fantastic,Nain,Alabrinn,m,"Glaive des mineurs",,fantastic
fantastic,Nain,Alabrinne,f,"Cervoise de la lanterne",,fantastic
fantastic,Nain,Alabrira,f,"Bouclier des neiges",,fantastic
fantastic,Nain,Alabrond,m,"Pierre du tunnel",,fantastic
fantastic,Nain,Alabrunda,f,"Armure magnanime",,fantastic
reel,français,Alain,m,beau|harmonieux,indo-européen,
reel,irlandais,Alaina,f,foan,gallois,alana
reel,français,Alaine,f,,indo-européen,alain
reel,hindou,Alaka,f,Belle|Chevelure,,
reel,hindou,Alaknanda,f,"Parfaite|rivière|[rivière himalayenne]",,
reel,irlandais,Alanagh,f,,,alaina
warcraft,mort-vivant,Alandil,m,,liche,warcraft
reel,irlandais,Alanna,f,,,alaina
reel,irlandais,Alannah,f,,,alaina
reel,irlandais,Alaois,m,,,alabhaois
reel,irlandais,Alastar,m,protéger|défendre|homme,grec,alexandre
reel,irlandais,Alastrann,m,,,alastar
reel,irlandais,Alastrina,f,,,alastar
reel,irlandais,Alastrine,f,,,alastrina
reel,irlandais,Alastriona,f,,,alastrina
reel,irlandais,Alastrom,m,,,alastar
reel,irlandais,Alayna,f,,,alaina
reel,irlandais,Alayne,f,,,alaina
reel,français,Alban,m,blanc,latin,
reel,français,Albane,f,,latin,alban
reel,français,Albérade,f,,,
reel,français,Albéric,m,noble|célèbre|puissant,germanique,
reel,français,Albert,m,noble|célèbre,germanique,
reel,français,Alberte,f,,germanique,albert
reel,français,Albertet,m,,germanique,albert
reel,français,Albertine,f,,germanique,albert
reel,français,Albin,m,,latin,alban
reel,français,Albine,f,,latin,alban
reel,irlandais,Alby,f,,,alban
reel,français,Alcée,m,,grec,alcide
reel,français,Alcibiade,m,"confiant dans sa force",grec,
reel,français,Alcide,m,"confiant dans sa force",grec,
reel,français,Alcidie,f,,grec,alcide
reel,français,Alcime,m,vaillant,latin,
reel,français,Alcine,f,"confiant dans sa force",grec,
reel,français,Alcyone,f,"la mer|concevoir",grec,
fantastic,elfe,Aldaron,m,"seigneur des arbres",,fantastic
reel,français,Aldebert,m,,germanique,albert
reel,français,Aldegonde,f,noble|guerre,germanique,
reel,français,Aldegrin,m,,germanique,adegrin
reel,français,Aldemar,m,,germanique,adhémar
reel,français,Aldéric,m,,germanique,aldric
reel,français,Aldonce,m,ancien,germanique,
reel,français,Aldric,m,ancien|puissant|roi,germanique,
reel,français,Aleaume,m,noble|casque,germanique,
reel,français,Aleth,f,"celle qui a des ailes",latin,
reel,irlandais,Alexandra,f,protéger|défendre|homme,grec,alexandre
reel,français,Alexandre,m,repousser|guerrier,grec,
reel,irlandais,Alexandrina,f,,,alexandra
reel,français,Alexandrine,f,,grec,alexandre
reel,français,Alexane,f,,grec,alexis
reel,français,Alexiane,f,,grec,alexane
reel,français,Alexie,f,,grec,alexis
reel,français,Alexine,f,,grec,alexane
reel,français,Alexis,m,repousser|protéger,grec,
warcraft,mort-vivant,Algammon,m,,"Seigneur de L'effroi",warcraft
reel,français,Alice,f,vérité,grec,
reel,français,Aliénor,f,,occitane,eleonore
reel,français,Aliette,f,,latin,aleth
reel,français,Aline,f,,germanique,adeline
reel,hindou,Alisha,f,"[Protégée de Dieu]",,
reel,irlandais,Alisson,f,,,ailis
reel,français,Alix,x,,grec,alice
reel,hindou,Âliya,f,Grande|Excellente,,
reel,français,Alizé,f,alizé,,
reel,irlandais,Allistair,m,,,alastar
reel,irlandais,Allister,m,,,alastar
reel,hindou,Almas,f,Diamant,,
reel,français,Almine,m,bienfaisant,latin,
reel,français,Almire,m,casque|célèbre,germanique,
reel,français,Aloïs,m,tout|sage|savant|lettré,germanique,
reel,français,Aloïse,x,tout|sage|savant|lettré,germanique,
reel,hindou,Alok,m,"[belle chevelure]",,
reel,hindou,Aloki,f,Brillance,,
reel,français,Aloys,m,,germanique,aloïs
reel,français,Aloyse,f,,germanique,aloïs
reel,hindou,Alpa,f,Petite,,
reel,hindou,Alpana,f,"decoration|[nom bengali d'un type de motif décoratif au sol (kolam, rangoli)]",,
reel,français,Alphée,m,dieu|fleuve,grec,
reel,français,Alphonse,m,tout|prompt|vif,germanique,
reel,français,Alphonsie,f,,germanique,alphonse
reel,français,Alphonsine,f,,germanique,alphonse
reel,français,Alpinien,m,saint,latin,alphonse
reel,hindou,Alpona,f,"decoration|[nom bengali d'un type de motif décoratif au sol (kolam, rangoli)]",,
reel,français,Althée,f,mauve,latin,
reel,français,Alverède,m,elfe|conseil,latin,
reel,irlandais,Alyson,f,,,allison
reel,nord-amérindien,Ama,f,eau,"Peuple Cherokee",
reel,français,Amadis,m,,latin,amédée
reel,hindou,Amal,m,Pur|Eclatant,,
reel,hindou,Amala,f,Pure,,
reel,hindou,Amalendu,m,"[Pur comme la Lune]",,
reel,hindou,Amalesh,m,Pur|Eclatant,,
reel,français,Amaliane,f,puissant|peuple,germanique,
reel,français,Amalric,m,noble|puissant|roi,germanique,
reel,français,Amalthée,f,"corne d'abondance",grec,
reel,hindou,Aman,m,Paix,,
reel,français,Amande,f,"grande mère",hébreu,
fantastic,elfe,Amandil,m,"l'amoureux d'Aman",,fantastic
reel,français,Amandin,m,aimable,latin,
reel,français,Amandine,f,,latin,amandin
reel,français,Amant,m,"qui aime",latin,
reel,français,Amante,f,,latin,amante
reel,français,Amantine,f,,latin,amante
reel,hindou,Amar,m,Immortel,,
reel,hindou,Amara,f,Sans-fin,,
reel,français,Amarande,f,,grec,amaranthe
reel,français,Amaranthe,f,"ne se flétrit pas",grec,
reel,irlandais,Amargein,m,chant|oiseau,irlandais,
fantastic,elfe,Amarië,m,soleil,,fantastic
reel,nord-amérindien,Amarok,m,Loup,,
reel,français,Amaryllis,f,resplendir,grec,
reel,français,Amarynthe,f,"déesse Diane",grec,
reel,français,Amaury,m,puissant|roi|seigneur,germanique,
reel,hindou,Ambar,m,Ciel,,
reel,hindou,Ambika,f,"[une des épouses de Shiva, nom aussi d'une des Apsaras]",,
reel,français,Ambre,f,,grec,ambroisie
reel,français,Ambrine,f,,grec,ambroisie
reel,français,Ambroise,m,immortel,grec,
reel,français,Ambroisie,f,,grec,ambroise
reel,français,Ambroisine,f,,grec,ambroisie
reel,irlandais,Ambros,m,immortel,grec,ambroise
reel,hindou,Ambu,f,Eau,,
reel,hindou,Ambud,m,Nuage,,
reel,hindou,Ambuda,f,Nuage,,
reel,hindou,Ambuja,f,"[Née de l'Eau]|Lotus|[un nom de la déesse Lakshmi]",,
reel,français,Amédée,m,"aimé de Dieu",latin,
reel,français,Ameliane,f,,grec,amélie
reel,français,Amélie,f,tendre,grec,amélien
reel,français,Amélien,m,,grec,
reel,français,Ameline,f,,grec,amélie
reel,français,Améthyste,f,"protégé de l'ivresse",grec,
reel,hindou,Ameya,m,Illimité,,
reel,irlandais,Amhlaoibh,m,,irlandais,olaf
reel,hindou,Ami,f,Nectar|Ambroisie,,
reel,français,Amiel,m,émule,latin,
reel,hindou,Amilhtha,f,"Immortelle|nectar|divin|[nom du nectar divin de vie éternelle",,
reel,hindou,Amilhthini,f,"Douce|Ambroisie|[qui apporte à la vie]",,
reel,français,Aminte,f,"qui aime",latin,
reel,hindou,Amirtha,f,"Immortelle|nectar|divin|[nom du nectar divin de vie éternelle",,
reel,hindou,Amirthini,f,"Douce|Ambroisie|[qui apporte à la vie]",,
reel,hindou,Amish,m,Honnête,,
reel,hindou,Amishi,f,Pure,,
reel,hindou,Amit,m,"infini|[Sans fin]",,
reel,hindou,Amita,f,Sans-Limites,,
reel,hindou,Amitabh,m,Lustre|Splendeur|Infinie,,
reel,hindou,Amitava,m,Lustre|Splendeur|Infinie,,
reel,hindou,Amitesh,m,Dieu|Infini,,
reel,hindou,Amitiyoti,m,"[Éclat sans limite]",,
reel,hindou,Amitrasudan,m,"[Destructeur des ennemis]",,
reel,hindou,Amiya,f,Délicieuse,,
fantastic,elfe,Amlach,m,soleil,,fantastic
reel,hindou,Amlankusum,m,"[fleur impérissable]",,
reel,hindou,Amoda,f,Joie,,
reel,hindou,Amodini,f,Joyeuse,,
reel,hindou,Amogh,m,Infaillible,,
reel,hindou,Amol,m,Inestimable,,
reel,hindou,Amolika,f,Inestimable,,
reel,irlandais,Amorgen,m,chant|naissance,irlandais,
reel,français,Amour,m,amour,latin,
fantastic,elfe,Amras,m,soleil,,fantastic
reel,hindou,Amrit,m,Nectar,,
reel,hindou,Amrita,f,"Immortelle|nectar|divin|[nom du nectar divin de vie éternelle",,
fantastic,elfe,Amrod,m,soleil,,fantastic
reel,hindou,Amrusha,f,Soudaine,,
reel,hindou,Amshul,m,Brillant,,
reel,hindou,Amshula,f,Ensoleillée,,
reel,hindou,Amukta,f,"Précieuse|[Que l'On ne Peut Toucher]",,
reel,hindou,Amul,m,Inestimable,,
reel,hindou,Amulya,f,Inestimable,,
reel,hindou,Amutha,f,"Immortelle|nectar|divin|[nom du nectar divin de vie éternelle",,
reel,irlandais,Amwn,m,inconnue,irlandais,
reel,nord-amérindien,Anaba,f,"elle rentre de la bataille",,
reel,français,Anaël,m,répondre|Dieu,hébreu,
reel,français,Anaelle,f,,hébreu,anael
reel,hindou,Anagha,f,Sans-Péché,,
reel,hindou,Anahita,f,Gracieuse,,
reel,français,Anaïs,f,,hébreu,anne
reel,hindou,Anamika,f,Annulaire,,
reel,hindou,Anand,m,"[bonheur suprême]",,
reel,hindou,Ananda,m,"[bonheur suprême]",,
reel,hindou,Anandamayi,f,Joyeuse,,
reel,hindou,Anandini,f,Joyeuse,,
reel,hindou,Anandita,f,"bonheur|[Celle qui apporte le bonheur]",,
reel,hindou,Ananga,m,"desir|[un nom de Kâma, dieu du Désir]",,
reel,hindou,Anant,m,"Infini|[nom du serpent représentant l'éternité]",,
reel,hindou,Ananta,m,"Infini|[nom du serpent représentant l'éternité]",,
reel,hindou,Anantram,m,Dieu|Infini,,
reel,hindou,Ananya,f,Inestimable,,
fantastic,elfe,Anar,m,soleil,,fantastic
warcraft,elfe,Anara,f,,"Pretresse de la lune",warcraft
reel,hindou,Anarghya,f,Inestimable,,
fantastic,elfe,Anárion,m,"les mâchoires de la soif",,fantastic
reel,français,Anastase,m,renaissance|résurrection,grec,
reel,français,Anastasiane,f,,grec,anastasie
reel,français,Anastasie,f,,grec,anastase
reel,hindou,Anasuya,f,"Charité|[Ève hindoue]",,
reel,français,Anatole,m,"celui qui vient du Levant",grec,
reel,français,Anatolie,f,,grec,antatole
reel,français,Anatoline,f,,grec,anatole
reel,hindou,Anbarasi,f,Reine|Compassion,,
fantastic,elfe,Ancalagon,m,"les mâchoires de la soif",,fantastic
reel,français,Ancelin,m,serviteur,latin,
reel,français,Anceline,f,,latin,ancelin
reel,hindou,Anchal,f,Abri,,
reel,hindou,Anchita,f,Vénérée,,
reel,français,Andelin,m,,latin,adeline
reel,français,Andéol,m,,grec,andré
reel,français,Andoche,x,,grec,andré
reel,français,André,m,viril,grec,
reel,français,Andrée,f,,grec,andré
reel,anglais,Andrew,m,NULL,NULL,NULL
warcraft,humain,Andromath,m,,archimage,warcraft
reel,français,Anémone,f,"le vent",grec,
fantastic,elfe,Anfauglir,m,"les mâchoires de la soif",,fantastic
fantastic,elfe,Anfauglith,m,"poussière d'agonie",,fantastic
reel,hindou,Angada,m,"Bracelet|[nom d'un des fils de Lakshmana]",,
reel,français,Angadrême,f,lame|combattre,germanique,
reel,hindou,Angana,f,Femme|Séduisante,,
reel,hindou,Angarika,f,Flamme|Forêt|fleur,,
reel,hindou,Angayarkanni,f,Reine|Vierges,,
reel,hindou,Angayarkkarasi,f,"Reine|Poissons|[nom d'une reine de la dynastie Pândya]",,
reel,français,Ange,x,messager,grec,
reel,français,Angela,f,,grec,ange
reel,français,Angelin,m,,grec,ange
reel,français,Angeline,f,,grec,ange
reel,français,Angélique,f,,grec,ange
reel,nord-amérindien,Angeni,f,ange,Potawatomi|Ojibwe,
reel,hindou,Angha,f,Beauté,,
reel,hindou,Angi,f,beaux|doigts,,
reel,français,Angilbe,m,ange|brillant,germanique,
reel,français,Angilbert,m,,germanique,
reel,français,Angilberte,f,,germanique,angilbert
reel,français,Angilran,m,,germanique,euguerrand
reel,français,Anglebert,m,,germanique,angilbert
reel,français,Angoustan,m,,latin,auguste
fantastic,elfe,Angrod,m,"le dispensateur",,fantastic
reel,hindou,Ani,f,Ornement,,
reel,français,Anicée,x,,grec,anicet
reel,français,Anicet,m,invincible,grec,
reel,français,Anicette,f,,grec,anicet
reel,hindou,Anil,m,Vent,,
reel,hindou,Anindita,f,Belle,,
reel,hindou,Aniruddha,m,"[Sans ennemi]|Incontrôlé|[un nom de Vishnu]",,
reel,hindou,Anirudh,m,"[Sans ennemi]|Incontrôlé|[un nom de Vishnu]",,
reel,hindou,Anirvan,m,Immortel,,
reel,français,Anis,m,,,
reel,hindou,Anish,m,Suprême,,
reel,hindou,Anisha,f,Continuelle,,
reel,hindou,Anita,f,Grâce,,
reel,hindou,Aniya,f,Créative,,
reel,hindou,Anjali,f,Offrande|Vénération,,
reel,hindou,Anjana,f,"[nom de la mère de Hanuman]",,
reel,hindou,Anjika,f,Bénie,,
reel,hindou,Anjini,f,"[nom de la mère de Hanuman]",,
reel,hindou,Anju,f,"[Celle qui est dans le Cœur]",,
reel,hindou,Anjuman,m,Symbole,,
reel,hindou,Anjushri,f,Chère|Cœur,,
reel,hindou,Ankit,m,Conquis,,
reel,hindou,Ankita,f,Conquise,,
